Profile_ID,Road_Name,N_Buildings,Total_Floors,Avg_Floors,Max_Floors,Min_Floors,Avg_Height_m,Max_Height_m,Dominant_Usage,SCR_Est,EWW_Est_m,Building_Density_per_100m,Center_Lat,Center_Lng
P0345,高新中四道,13,80,6.2,8,1,18.5,24.0,Residential,0.65,3.5,26.0,92.844759,43.63558
P0346,高新中四道,13,80,6.2,8,1,18.5,24.0,Residential,0.65,3.5,26.0,71.755157,64.725046
P0347,科苑南路,11,249,22.6,47,2,67.9,141.0,Residential,0.3,1.5,22.0,113.939753,22.517971
P0348,科苑南路,11,250,22.7,47,2,68.2,141.0,Residential,0.3,1.5,22.0,113.940327,22.522101
P0349,科苑南路,11,266,24.2,47,2,72.5,141.0,Residential,0.3,1.5,22.0,113.940134,22.52485
P0350,科苑南路,11,241,21.9,47,2,65.7,141.0,Residential,0.3,1.5,22.0,113.940005,22.527498
P0351,科苑南路,11,261,23.7,32,2,71.2,96.0,Residential,0.3,1.5,22.0,113.939756,22.529006
P0352,科苑南路,11,308,28.0,62,2,84.0,186.0,Residential,0.3,1.5,22.0,113.939816,22.530295
P0353,科苑南路,11,319,29.0,62,2,87.0,186.0,Residential,0.3,1.5,22.0,89.008047,47.460239
P0354,科苑南路,11,337,30.6,62,2,91.9,186.0,Residential,0.3,1.5,22.0,64.077759,72.390441
P0355,科技路,10,182,18.2,45,7,54.6,135.0,Mixed Residential,0.3,1.5,20.0,113.945264,22.544409
P0356,科技路,10,278,27.8,49,7,83.4,147.0,Residential,0.3,1.5,20.0,113.94593,22.544798
P0357,科技路,10,292,29.2,49,1,87.6,147.0,Residential,0.3,1.5,20.0,113.94585,22.54532
P0358,科技路,10,208,20.8,49,1,62.4,147.0,Residential,0.3,1.5,20.0,113.945668,22.546028
P0359,科技路,10,108,10.8,47,1,32.4,141.0,Industrial,0.5,2.5,20.0,113.944776,22.546757
P0360,科技路,10,10,1.0,1,1,3.0,3.0,Commercial,0.75,4.5,20.0,104.805037,31.687006
P0361,科技路,10,32,3.2,17,1,9.6,51.0,Unknown,0.65,3.5,20.0,77.385076,59.106219
P0362,科技路,10,57,5.7,17,1,17.1,51.0,Commercial,0.65,3.5,20.0,49.965621,86.525734
P0363,科技南路,10,244,24.4,57,1,73.2,171.0,Residential,0.3,1.5,20.0,113.945539,22.53453
P0364,科技南路,10,143,14.3,57,1,42.9,171.0,Residential,0.5,2.5,20.0,113.945961,22.536547
P0365,科技南路,10,44,4.4,7,1,13.2,21.0,Residential,0.65,3.5,20.0,113.946183,22.5373
P0366,科技南路,10,38,3.8,7,1,11.4,21.0,Public,0.65,3.5,20.0,113.946213,22.537555
P0367,科技南路,10,50,5.0,7,1,15.0,21.0,Residential,0.65,3.5,20.0,113.946032,22.537928
P0368,科技南路,10,48,4.8,7,1,14.4,21.0,Residential,0.65,3.5,20.0,95.664517,40.819608
P0369,科技南路,10,110,11.0,57,1,33.0,171.0,Residential,0.5,2.5,20.0,68.241799,68.242169
P0370,科技南路,10,104,10.4,57,1,31.2,171.0,Residential,0.5,2.5,20.0,40.819225,95.664729
P0371,琼宇路,10,58,5.8,7,1,17.4,21.0,Residential,0.65,3.5,20.0,113.941955,22.553383
P0372,琼宇路,10,46,4.6,7,1,13.8,21.0,Residential,0.65,3.5,20.0,113.942256,22.553635
P0373,琼宇路,10,31,3.1,7,1,9.3,21.0,Other,0.65,3.5,20.0,113.942608,22.553875
P0374,琼宇路,10,52,5.2,27,1,15.6,81.0,Other,0.65,3.5,20.0,113.943233,22.554067
P0375,琼宇路,10,74,7.4,27,1,22.2,81.0,Other,0.65,3.5,20.0,113.943819,22.554282
P0376,琼宇路,10,72,7.2,27,1,21.6,81.0,Residential,0.65,3.5,20.0,113.944225,22.554447
P0377,琼宇路,10,45,4.5,27,1,13.5,81.0,Residential,0.65,3.5,20.0,104.805704,31.693288
P0378,琼宇路,10,22,2.2,7,1,6.6,21.0,Residential,0.75,4.5,20.0,77.388688,59.109925
