code,wgs_lon,wgs_lat,addr,name,pk,use_type,use_name,update_year,floors,update_status,lon_gcj02,lat_gcj02
4403050070060100127,113.94393844380922,22.519525917859035,后海天后庙,后海天后宫,eae10302c5344c64936438e2fa1f4663,8,科教/education,2022,1,1,113.92672006,22.51380796
4403050070150100137,113.94867379179595,22.542610131827416,南山区南海大道3688号,深圳大学档案馆,e8aab5a56e9d4006afa62a48cadf95b0,8,科教/education,2022,6,1,113.93143831,22.53687988
4403050070101000002,113.95114143277729,22.552330965219472,高新中四道6号,凯丽花园12栋,e4fd700d49334c89b07d3e411bb03223,2,商业/commercial,2022,8,1,113.93389721,22.54659471
4403050070070100003,113.94182875686124,22.516097616518266,华明路1号,海映山庄8栋,e466a533c2e74bfa9d2e503a22d301c5,2,商业/commercial,2022,6,1,113.92461591,22.51038296
4403050070060100067,113.94365851184222,22.517827539920344,后海村69号,后海村69号,d9b8cc9fa27840d9902ea517fade008b,3,办公/office,2022,4,1,113.92644119,22.51211039
4403050070090100015,113.93972812624898,22.5201464940733,登良路48号 龙城花园16栋,龙城花园16栋,d7263a41dbb942349d467c70ab8593b7,2,商业/commercial,2022,7,1,113.92251869,22.51443277
4403050070020100006,113.94015244294306,22.521795035711545,龙城路106号,粤海小区B座,ffe464ff787e4dc990763c33f4a20c41,3,办公/office,2022,8,1,113.92294171,22.51608043
4403050070120400016,113.93902067740274,22.515557191273544,建南路5号,南油A区14栋,fef765ab3a8940d0acd7e3f6f037b17b,2,商业/commercial,2022,6,1,113.92181385,22.50984546
4403050070140400010,113.9483187337616,22.51796148139749,华明路1号,蔚蓝海岸二期15栋,fde1008d2db345828ae0ad23974d2163,2,商业/commercial,2022,12,1,113.93109038,22.51223856
4403050070120400011,113.93883008144985,22.516226461059144,建南路21号,南油A区22栋,fd02cfffa74d4d95920eceeb035368bf,1,住宅/residential,2022,9,1,113.92162347,22.51051471
4403050070120100024,113.94178742669821,22.5170416976202,兴南路54号6栋,南油B区16栋,fcd7af0e6f45402f81d72f116c9692ff,1,住宅/residential,2022,6,1,113.92457443,22.51132681
44030500700808T0025,113.95453383592518,22.55273670214001,深圳市南山区粤海街道科技中三路6-2号,深圳市南山区粤海街道科技中三路6-2号,fcd2a3c4582a4277b111de60dd791564,4,工业/industrial,2022,1,1,113.93728043,22.54699518
4403050070060100074,113.94324619234268,22.517883174441348,后海村67号,后海村67号,fc36e21cfff9443f9e29074254ce7746,3,办公/office,2022,9,1,113.92602978,22.51216647
4403050070020200001,113.94163060645266,22.52319076138647,深圳市南山区创业路7-51号,中国建设银行南油支行,fab14d7060984fca8eb174bb3cb3e390,3,办公/office,2022,2,1,113.92441639,22.51747427
4403050070150100084,113.94393641024928,22.535509921678706,南海大道3688号,苏铁轩,f93e25cc784b4e8f8f8c6aca57429dd8,2,商业/commercial,2022,6,1,113.92671398,22.52978748
4403050070060100124,113.94321303774866,22.516656872051662,后海村1号,后海村1号,f75e0d79da14425892e86acf259a3c17,2,商业/commercial,2022,6,1,113.92599701,22.51094056
4403050070050700001,113.94641062587307,22.52726948378502,海德三道199号,天利中央广场,f5a83b7a6c0848938f72a8b8e94cd60d,4,工业/industrial,2022,33,1,113.92918454,22.52154637
4403050070060100029,113.94369802003102,22.518890321665634,后海村136号,后海村136号,f43175e1d6114321928b3eb2d901e7cd,2,商业/commercial,2022,4,1,113.92648034,22.51317282
