community_id,lng,lat,population,A_day_raw,A_night_raw,A_day_norm,A_night_norm,TPI,accessibility_gap,accessibility_ratio,SAII,TPI_level
1,113.916231,22.546877,1702,0.032596445896041354,0.0013216660804881704,0.09702583525370334,0.04827455765938264,-50.24566649371868,0.0487512775943207,0.4975433350628133,0.04875127759432071,0-NightAdv
2,113.93485,22.527444,1371,0.013891470696594486,0.0009313648176601628,0.041349033926521124,0.03401859611578218,-17.728196077725595,0.007330437810738943,0.822718039222744,0.007330437810738943,0-NightAdv
3,113.935645,22.528029,2709,0.014757909197216292,0.001011833212768337,0.04392805494884081,0.03695774711372012,-15.867553988535121,0.00697030783512069,0.8413244601146488,0.006970307835120691,0-NightAdv
4,113.918479,22.526518,3863,0.0494308675394359,0.0037613097607229495,0.14713478965237112,0.13738384271142984,-6.627220498958413,0.00975094694094128,0.9337277950104159,0.00975094694094128,0-NightAdv
5,113.957109,22.52315,1121,0.0016661861844748994,6.310362203162094e-05,0.004959531684909586,0.002304893410865317,-53.52598678059789,0.002654638274044269,0.46474013219402105,0.0026546382740442686,0-NightAdv
6,113.92981,22.530638,1581,0.008344707145669924,0.0006704667748825468,0.02483866441569627,0.024489156119383005,-1.4071138868980395,0.00034950829631326397,0.9859288611310196,0.00034950829631326397,1-None
7,113.953239,22.518945,4533,0.004422707158299306,0.0002675143277188539,0.013164528963835184,0.009771103328463142,-25.777038014001562,0.0033934256353720417,0.7422296198599844,0.003393425635372041,0-NightAdv
8,113.931195,22.526954,1031,0.021374211612752363,0.0014416960448407658,0.06362198937978575,0.05265871604896074,-17.231893308743828,0.010963273330825009,0.8276810669125617,0.010963273330825009,0-NightAdv
9,113.929679,22.506525,5335,0.1099805733450582,0.007378603955061871,0.32736565895919895,0.26950744014162603,-17.673881555421193,0.057858218817572915,0.823261184445788,0.05785821881757291,0-NightAdv
10,113.92211,22.541586,4007,0.04401637091744103,0.002787898366268281,0.13101812285676787,0.10182947297944324,-22.278330082040906,0.029188649877324627,0.7772166991795909,0.029188649877324627,0-NightAdv
11,113.930124,22.507264,4941,0.11234110970635017,0.007381264512429616,0.33439197749808314,0.26960461841679817,-19.37467506428331,0.06478735908128497,0.8062532493571669,0.06478735908128497,0-NightAdv
12,113.952473,22.531496,4843,0.010939234544055425,0.0004957437367323572,0.03256147532335854,0.018107304073601206,-44.39040647334669,0.014454171249757335,0.5560959352665331,0.014454171249757333,0-NightAdv
13,113.935223,22.521598,7723,0.04651334943841338,0.002752777635936129,0.13845057200722327,0.1005466695947692,-27.377208965576934,0.037903902412454074,0.7262279103442307,0.037903902412454074,0-NightAdv
14,113.937297,22.539434,3584,0.008189464500816809,0.0005249965967922658,0.024376572709996023,0.01917578037068701,-21.335207377927834,0.005200792339309014,0.7866479262207217,0.005200792339309014,0-NightAdv
15,113.936653,22.539844,4858,0.009116997497144966,0.00037344120293704707,0.027137446210779705,0.013640138874499209,-49.73683681008647,0.013497307336280497,0.5026316318991353,0.013497307336280497,0-NightAdv
16,113.935174,22.532709,6172,0.007135765327336986,0.0005460334767593933,0.02124015585218661,0.0199441636181193,-6.101613580833925,0.00129599223406731,0.9389838641916608,0.00129599223406731,0-NightAdv
17,113.934844,22.541922,5302,0.01778654378139557,0.0008196601869332164,0.05294301937611091,0.029938524971899715,-43.45142131162875,0.023004494404211193,0.5654857868837125,0.023004494404211193,0-NightAdv
