community_id,lng,lat,population,A_i_2sfca_day,A_i_2sfca_norm_day,A_i_2sfca_night,A_i_2sfca_norm_night,TPI,accessibility_gap,accessibility_ratio,TPI_level
1,113.916231,22.546877,1702,0.051958449515710395,0.12084448965808528,0.0028329461337690052,0.0717824327166758,-40.599333143136754,0.049062056941409485,0.5940066685686325,0-Night Advantage
2,113.93485,22.527444,1371,0.028486449720229127,0.06625352585956065,0.0021214425722190337,0.0537540431451851,-18.866139654017864,0.012499482714375551,0.8113386034598213,0-Night Advantage
3,113.935645,22.528029,2709,0.0254914864592342,0.05928786752693058,0.001888429738074452,0.04784986166791413,-19.29232123894643,0.01143800585901645,0.8070767876105357,0-Night Advantage
4,113.918479,22.526518,3863,0.05007305484021635,0.11645945585727376,0.004385878143561284,0.11113130567183511,-4.575111695497294,0.00532815018543864,0.9542488830450271,1-No Significant
5,113.957109,22.52315,1121,0.005969513284091772,0.013883839742082954,0.00038806046444248536,0.009832846395065273,-29.17775933943416,0.004050993347017681,0.7082224066056584,0-Night Advantage
6,113.92981,22.530638,1581,0.026834488577788702,0.06241140964835924,0.0023039882656414783,0.058379466057262255,-6.460266822707447,0.004031943591096987,0.9353973317729255,0-Night Advantage
7,113.953239,22.518945,4533,0.006374799175826333,0.014826449985629122,0.0003562183569274381,0.009026017097109264,-39.122196440429505,0.005800432888519858,0.6087780355957049,0-Night Advantage
8,113.931195,22.526954,1031,0.03638569063501353,0.08462550858673493,0.0029312720898770146,0.07427385895471578,-12.232304189238013,0.01035164963201915,0.8776769581076199,0-Night Advantage
9,113.929679,22.506525,5335,0.1318233417683715,0.30659353020542895,0.00975209126501268,0.24710276935139702,-19.40378872775656,0.05949076085403193,0.8059621127224343,0-Night Advantage
10,113.92211,22.541586,4007,0.04096033119447174,0.09526516602319772,0.002830556679231577,0.07172188766870685,-24.713417650222663,0.023543278354490868,0.7528658234977734,0-Night Advantage
11,113.930124,22.507264,4941,0.13005479255626967,0.3024802545214224,0.009901369454475974,0.25088524564471076,-17.05731468599302,0.051595008876711645,0.8294268531400698,0-Night Advantage
12,113.952473,22.531496,4843,0.021300582075890282,0.04954070020127941,0.0013900386699312532,0.0352214100044211,-28.904093278214326,0.014319290196858313,0.7109590672178567,0-Night Advantage
13,113.935223,22.521598,7723,0.04082373517918603,0.09494747225230221,0.00295175593203554,0.07479288753912698,-21.227089289558773,0.02015458471317523,0.7877291071044122,0-Night Advantage
14,113.937297,22.539434,3584,0.018907351036540253,0.043974545200894014,0.001046825094338985,0.02652491376549523,-39.681209562672244,0.017449631435398783,0.6031879043732775,0-Night Advantage
15,113.936653,22.539844,4858,0.019497072473306717,0.045346113958828725,0.0011059124541070357,0.028022095224894617,-38.20397652963862,0.017324018733934108,0.6179602347036138,0-Night Advantage
16,113.935174,22.532709,6172,0.017472544980422822,0.04063748631584368,0.0012909457231363394,0.0327105494196702,-19.506464633573895,0.007926936896173478,0.804935353664261,0-Night Advantage
17,113.934844,22.541922,5302,0.025782167898981908,0.0599639317776309,0.0014930385567829255,0.03783126635136082,-36.90996365673024,0.022132665426270084,0.6309003634326975,0-Night Advantage
18,113.919313,22.522586,2725,0.06551633712726118,0.1523773014438592,0.005695387797607435,0.14431223612191257,-5.292825929797722,0.008065065321946618,0.9470717407020228,0-Night Advantage
19,113.946107,22.526839,2515,0.017054003748773406,0.039664046923194994,0.0011873872524755444,0.030086539430973218,-24.146571606189234,0.009577507492221776,0.7585342839381076,0-Night Advantage
20,113.932012,22.524139,2807,0.04295640543484666,0.09990761735009544,0.0033698516017094623,0.0853867791489097,-14.534265340651597,0.014520838201185743,0.854657346593484,0-Night Advantage
21,113.954585,22.544935,6954,0.03597207577442383,0.0836635269031235,0.002558380484941972,0.06482536778052901,-22.516573015631714,0.018838159122594483,0.7748342698436829,0-Night Advantage
22,113.955945,22.541872,2578,0.03146405529514362,0.07317881384366057,0.0028395724695706166,0.07195033372198169,-1.6787374065715357,0.0012284801216788793,0.9832126259342846,1-No Significant
