community_id,lng,lat,community_type,SAI,SAI_night,spatial_deprivation,TPI,TPI_deprivation,TPI_norm,SAII,vulnerability,vulnerability_weighted,deprivation_type,illusion_flag,illusion_type
218,113.903162,22.488066,high_end,0.029471474965023704,0.03779558500938367,0.9705285250349763,28.244633342032895,28.244633342032895,1.0,0.9705285250349763,0.9852642625174881,0.9823171150209858,4-Dual Deprived,0,Dual Deprivation
219,113.909068,22.491059,urban_village,0.10920471797644382,0.11317634927397677,0.8907952820235562,3.6368678671828567,3.6368678671828567,0.13646308434166501,0.12156067170193782,0.5136291831826106,0.5890624029507997,3-Spatially Isolated,1,Accessibility Illusion
220,113.907594,22.487536,urban_village,0.08893594876718694,0.09944733084885869,0.9110640512328131,11.819047558808911,11.819047558808911,0.4434760191343509,0.4040350586171423,0.677270035183582,0.7240288383934282,4-Dual Deprived,1,Accessibility Illusion
221,113.90685,22.490484,urban_village,0.065445195784422,0.06167022174300634,0.934554804215578,-5.768145386638476,0.0,0.0,0.0,0.467277402107789,0.5607328825293468,3-Spatially Isolated,0,Night Advantage
222,113.907554,22.474747,high_end,0.045318683719903885,0.06120951563089809,0.9546813162800961,35.06463693696156,35.06463693696156,1.0,0.9546813162800961,0.9773406581400481,0.9728087897680576,4-Dual Deprived,0,Dual Deprivation
223,113.913829,22.474467,high_end,0.05971994332247944,0.07323663081984616,0.9402800566775206,22.633456673557912,22.633456673557912,0.8492558486540865,0.7985383375061803,0.8947679526658036,0.9038703734681469,4-Dual Deprived,0,Dual Deprivation
224,113.902743,22.488329,urban_village,0.028327138851511117,0.036885354174416796,0.9716728611484888,30.212071073493323,30.212071073493323,1.0,0.9716728611484888,0.9858364305742444,0.9830037166890933,4-Dual Deprived,0,Dual Deprivation
225,113.910138,22.50907,high_end,0.17299660517369758,0.16812673590896648,0.8270033948263025,-2.815008571897405,0.0,0.0,0.0,0.41350169741315124,0.49620203689578146,3-Spatially Isolated,0,Normal
226,113.911132,22.492791,commodity_housing,0.1736322632520176,0.17119564311420932,0.8263677367479824,-1.4033222237457528,0.0,0.0,0.0,0.4131838683739912,0.4958206420487894,3-Spatially Isolated,0,Normal
227,113.88983,22.501236,urban_village,0.23045566052055702,0.2483662029391076,0.769544339479443,7.7717953979060255,7.7717953979060255,0.2916144357183187,0.22441023831752405,0.5305793875988809,0.5783723779749932,3-Spatially Isolated,1,Accessibility Illusion
228,113.911484,22.509138,high_end,0.19284419338723116,0.18085606343432917,0.8071558066127689,-6.216484791341282,0.0,0.0,0.0,0.40357790330638443,0.4842934839676613,3-Spatially Isolated,0,Night Advantage
229,113.909753,22.48415,high_end,0.11686528605709993,0.14208436491311946,0.8831347139429001,21.579615048131213,21.579615048131213,0.8097134501218138,0.7150860561490467,0.846424082032357,0.8537662084144656,4-Dual Deprived,1,Accessibility Illusion
230,113.911273,22.464925,urban_village,0.01142999154202644,0.013361693767215181,0.9885700084579736,16.900294441042664,16.900294441042664,0.6341353026645501,0.6268871415185939,0.8113526555612618,0.8467961261406041,4-Dual Deprived,0,Dual Deprivation
231,113.917025,22.500611,high_end,0.23462281327684256,0.19539175940525952,0.7653771867231575,-16.72090336129951,0.0,0.0,0.0,0.38268859336157873,0.45922631203389447,3-Spatially Isolated,0,Night Advantage
232,113.920058,22.49675,commodity_housing,0.4835840326542108,0.4837879541687349,0.5164159673457892,0.042168785723721555,0.042168785723721555,0.001582263302642138,0.0008171060340296829,0.25899911532421566,0.3104824857285304,1-Well-Served,1,Accessibility Illusion
233,113.883795,22.491701,commodity_housing,0.10485819262716119,0.09506214279418114,0.8951418073728388,-9.342188328394474,0.0,0.0,0.0,0.4475709036864194,0.5370850844237033,3-Spatially Isolated,0,Night Advantage
234,113.901972,22.477695,high_end,0.045443087325070054,0.043410384113610534,0.9545569126749299,-4.47307463271343,0.0,0.0,0.0,0.47727845633746496,0.5727341476049579,3-Spatially Isolated,0,Normal
235,113.911294,22.468208,urban_village,0.01746176697528374,0.022050947641936606,0.9825382330247162,26.281307459598008,26.281307459598008,0.9861310356723038,0.9689114453202987,0.98433463434851,0.9839753540837513,4-Dual Deprived,0,Dual Deprivation
236,113.90699,22.508711,urban_village,0.13714617743459678,0.12601456885338674,0.8628538225654032,-8.11660141714016,0.0,0.0,0.0,0.4314269112827016,0.5177122935392419,3-Spatially Isolated,0,Night Advantage
237,113.898571,22.5034,high_end,0.1188172077007518,0.10112046098863746,0.8811827922992482,-14.894094091728402,0.0,0.0,0.0,0.4405913961496241,0.5287096753795489,3-Spatially Isolated,0,Night Advantage
238,113.897307,22.475691,urban_village,0.08261553931775215,0.047579132668120735,0.9173844606822479,-42.408978914821304,0.0,0.0,0.0,0.45869223034112394,0.5504306764093487,3-Spatially Isolated,0,Night Advantage
239,113.906739,22.487598,commodity_housing,0.0721921170671252,0.07520964323371154,0.9278078829328749,4.179855487241928,4.179855487241928,0.1568371446866172,0.14551473917692728,0.542322513809746,0.6194195876343718,3-Spatially Isolated,0,Normal
240,113.927916,22.490717,urban_village,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-Well-Served,0,Normal
241,113.909985,22.490741,commodity_housing,0.14330641025521298,0.14149761484614637,0.856693589744787,-1.2621873689009095,0.0,0.0,0.0,0.4283467948723935,0.5140161538468722,3-Spatially Isolated,0,Normal
242,113.919725,22.472712,commodity_housing,0.035759081435988785,0.03892468067911816,0.9642409185640112,8.85257427206573,8.85257427206573,0.3321675776099953,0.32028957015184434,0.6482042480870033,0.7114115821824047,4-Dual Deprived,0,Dual Deprivation
243,113.90424,22.487167,urban_village,0.041595726756222993,0.05282911505955303,0.958404273243777,27.006111394963067,27.006111394963067,1.0,0.958404273243777,0.9792021366218885,0.9750425639462662,4-Dual Deprived,0,Dual Deprivation
244,113.925259,22.492423,high_end,0.8944365130032749,0.9115324459243432,0.10556348699672513,1.9113634866788778,1.9113634866788778,0.07171845835913743,0.007570850546419977,0.08864097267793128,0.09202547554169005,1-Well-Served,1,Accessibility Illusion
245,113.886264,22.495729,commodity_housing,0.12381321421545753,0.12495430486910872,0.8761867857845425,0.9216226724115898,0.9216226724115898,0.03458125977337578,0.030299642849214423,0.4553840227789591,0.5395445753800757,3-Spatially Isolated,1,Accessibility Illusion
246,113.90501,22.500769,high_end,0.06850766230629565,0.051935202980183594,0.9314923376937043,-24.190665347792926,0.0,0.0,0.0,0.46574616884685216,0.5588954026162226,3-Spatially Isolated,0,Night Advantage
247,113.918633,22.491734,urban_village,0.5200095800558728,0.48669915783725776,0.47999041994412717,-6.405732412667477,0.0,0.0,0.0,0.23999520997206358,0.28799425196647627,1-Well-Served,0,Night Advantage
248,113.907447,22.500446,high_end,0.07664921454301271,0.05693291836336246,0.9233507854569873,-25.722763497577912,0.0,0.0,0.0,0.46167539272849367,0.5540104712741923,3-Spatially Isolated,0,Night Advantage
249,113.893334,22.490536,high_end,0.08092749638246753,0.08076073818418342,0.9190725036175325,-0.20605876338495194,0.0,0.0,0.0,0.4595362518087662,0.5514435021705194,3-Spatially Isolated,0,Normal
250,113.914466,22.478154,urban_village,0.10719229882515001,0.11513001994169068,0.89280770117485,7.405122572740538,7.405122572740538,0.27785608471583545,0.2480720522525894,0.5853318929453427,0.6468270545912441,3-Spatially Isolated,1,Accessibility Illusion
251,113.88995,22.499642,commodity_housing,0.19015211424231257,0.202657771395937,0.8098478857576874,6.576659535685388,6.576659535685388,0.24677037431107943,0.1998464659034608,0.5283091300343834,0.5846168811790442,3-Spatially Isolated,1,Accessibility Illusion
252,113.904034,22.48796,high_end,0.03721179511386387,0.04731491646276676,0.9627882048861361,27.150319725206717,27.150319725206717,1.0,0.9627882048861361,0.9813941024430681,0.9776729229316817,4-Dual Deprived,0,Dual Deprivation
253,113.893846,22.470759,high_end,0.10886087467749224,0.06188073184112051,0.8911391253225077,-43.15613205897307,0.0,0.0,0.0,0.44556956266125386,0.5346834751935046,3-Spatially Isolated,0,Night Advantage
254,113.890219,22.496424,high_end,0.12224819598023247,0.1221336063373486,0.8777518040197675,-0.09373524244267667,0.0,0.0,0.0,0.43887590200988374,0.5266510824118604,3-Spatially Isolated,0,Normal
