community_id,lng,lat,community_type,SAI,SAI_night,SAI_pct,spatial_dep,TPI,TPI_dep,TPI_dep_norm,TPI_sym,SAII,vulnerability,vuln_weighted,quadrant,deprivation_type,illusion_flag
1,113.916231,22.546877,high_end,0.1283386639699968,0.0862448079270103,79.1044776119403,0.8716613360300032,-32.799044918238565,0.0,0.0,0.8380115217045278,0.0,0.4358306680150016,0.5229968016180019,Q2-Night Advantage,1-Night Advantage,0
2,113.93485,22.527444,commodity_housing,0.084142735650493,0.07412615820830264,46.517412935323385,0.915857264349507,-11.90426881744922,0.0,0.0,0.3041525889353892,0.0,0.4579286321747535,0.5495143586097042,Q4-Spatial Isolated,3-Spatial Isolated,0
3,113.935645,22.528029,high_end,0.07533058693424599,0.06609431176950513,38.80597014925373,0.924669413065754,-12.260989248368599,0.0,0.0,0.31326675161552303,0.0,0.462334706532877,0.5548016478394524,Q4-Spatial Isolated,3-Spatial Isolated,0
4,113.918479,22.526518,high_end,0.13314400338076604,0.14065086967597043,80.59701492537313,0.866855996619234,5.638155759622315,5.638155759622315,0.21155569931463225,0.14405417900144105,0.18338832656986453,0.539205847966933,0.6047358776973932,Q1-Temporal Illusion,2-Temporal Illusion,1
5,113.957109,22.52315,high_end,0.016580360980436724,0.01291293359374945,2.736318407960199,0.9834196390195633,-22.11910459015033,0.0,0.0,0.5651403735242952,0.0,0.49170981950978165,0.5900517834117379,Q4-Spatial Isolated,3-Spatial Isolated,0
6,113.92981,22.530638,commodity_housing,0.07540580217056231,0.0767815985057985,39.30348258706468,0.9245941978294376,1.8245231741242534,1.8245231741242534,0.06846002353852412,0.04661634036431425,0.06329774054698613,0.49652711068398087,0.5821405281130722,Q3-Dual Deprived,4-Dual Deprived,0
7,113.953239,22.518945,high_end,0.0176613662409108,0.011847648872197195,3.233830845771144,0.9823386337590893,-32.9177102689072,0.0,0.0,0.841043406667499,0.0,0.4911693168795446,0.5894031802554536,Q4-Spatial Isolated,3-Spatial Isolated,0
8,113.931195,22.526954,high_end,0.10598447794284886,0.10102691509136626,62.68656716417911,0.8940155220571512,-4.677631052875427,0.0,0.0,0.11951289210902434,0.0,0.4470077610285756,0.5364093132342906,Q2-Night Advantage,1-Night Advantage,0
9,113.929679,22.506525,high_end,0.3706910871427258,0.32556829885521055,97.2636815920398,0.6293089128572742,-12.172612143259274,0.0,0.0,0.31100872756265424,0.0,0.3146544564286371,0.3775853477143645,Q2-Night Advantage,1-Night Advantage,0
10,113.92211,22.541586,high_end,0.10993628619794521,0.09154333388627131,66.66666666666666,0.8900637138020548,-16.73055635020867,0.0,0.0,0.4274636356318227,0.0,0.4450318569010274,0.5340382282812329,Q2-Night Advantage,1-Night Advantage,0
11,113.930124,22.507264,commodity_housing,0.36796027346203325,0.3310589016969816,96.76616915422885,0.6320397265379667,-10.028629291378977,0.0,0.0,0.2562302321311138,0.0,0.31601986326898335,0.37922383592278003,Q2-Night Advantage,1-Night Advantage,0
12,113.952473,22.531496,commodity_housing,0.06187565481327519,0.048013725941809415,29.601990049751244,0.9381243451867248,-22.402880281909763,0.0,0.0,0.5723908071837779,0.0,0.4690621725933624,0.5628746071120349,Q4-Spatial Isolated,3-Spatial Isolated,0
13,113.935223,22.521598,commodity_housing,0.12348069000138182,0.10616169607155808,77.11442786069652,0.8765193099986182,-14.025669867596244,0.0,0.0,0.3583541221388982,0.0,0.4382596549993091,0.5259115859991709,Q2-Night Advantage,1-Night Advantage,0
14,113.937297,22.539434,commodity_housing,0.05426066415682734,0.035866809148278035,24.129353233830848,0.9457393358431727,-33.89905983344825,0.0,0.0,0.8661167660886392,0.0,0.47286966792158636,0.5674436015059036,Q4-Spatial Isolated,3-Spatial Isolated,0
15,113.936653,22.539844,commodity_housing,0.056060096281182324,0.03799770190704431,25.12437810945274,0.9439399037188176,-32.21969916630524,0.0,0.0,0.8232093097382662,0.0,0.4719699518594088,0.5663639422312906,Q4-Spatial Isolated,3-Spatial Isolated,0
16,113.935174,22.532709,commodity_housing,0.05085048117828471,0.044612446987430644,22.139303482587064,0.9491495188217153,-12.267404449887422,0.0,0.0,0.31343065921710817,0.0,0.47457475941085764,0.5694897112930292,Q4-Spatial Isolated,3-Spatial Isolated,0
17,113.934844,22.541922,high_end,0.07453480661921831,0.051530145656520115,38.308457711442784,0.9254651933807817,-30.864319646288042,0.0,0.0,0.7885795314356314,0.0,0.46273259669039085,0.555279116028469,Q4-Spatial Isolated,3-Spatial Isolated,0
18,113.919313,22.522586,high_end,0.1762589057421086,0.1837659612762805,88.80597014925374,0.8237410942578914,4.25910708032863,4.25910708032863,0.1598108344731475,0.1088196566206722,0.1316427516631773,0.49177596436551946,0.5581689903439938,Q1-Temporal Illusion,2-Temporal Illusion,1
19,113.946107,22.526839,high_end,0.048576842493261434,0.040526600437621824,19.900497512437813,0.9514231575067386,-16.572180575047334,0.0,0.0,0.4234171542579007,0.0,0.4757115787533693,0.5708538945040431,Q4-Spatial Isolated,3-Spatial Isolated,0
