name,address,type,type_code,lng,lat,facility_type,business_period,open_time,close_time,is_24h,night_ratio,night_service,tel,adcode,pcode,citycode,source
农园社区健康服务中心,农轩路天御香山花园6号楼1-2层,医疗保健服务;综合医院;卫生院,090102,114.01965,22.538021,hospital,,,,False,0.2,True,0755-23483250;0755-23487224,440304,440000,0755,amap
香港大学深圳医院,海园一路1号,医疗保健服务;综合医院;三级甲等医院,090101,113.996092,22.525518,hospital,,,,False,0.2,True,0755-86913333,440304,440000,0755,amap
深圳华侨城医院,华侨城香山东街10号(侨城北地铁站B口步行160米),医疗保健服务;综合医院;综合医院,090100,113.990372,22.542019,hospital,,,,False,0.2,True,0755-26600223;0755-26900737;0755-26925881,440305,440000,0755,amap
深圳大学总医院,桃源街道塘朗社区学苑大道1298号,医疗保健服务;综合医院;综合医院,090100,113.987481,22.594355,hospital,,,,False,0.2,True,0755-21839999;0755-21839165,440305,440000,0755,amap
深圳沙河医院,沙河街32号(白石洲地铁站A口步行290米),医疗保健服务;综合医院;综合医院,090100,113.969237,22.541468,hospital,,,,False,0.2,True,0755-86658535;0755-86658948,440305,440000,0755,amap
南方科技大学医院,西丽街道留仙大道6019号,医疗保健服务;综合医院;综合医院,090100,113.949435,22.579685,hospital,,,,False,0.2,True,0755-25232188,440305,440000,0755,amap
南方科技大学附属医院(建设中),桃源街道塘朗社区学苑大道北侧紧邻大沙河,医疗保健服务;综合医院;综合医院,090100,114.006293,22.597051,hospital,,,,False,0.2,True,0755-86163017,440305,440000,0755,amap
深圳市南山区人民医院,桃园路89号,医疗保健服务;综合医院;三级甲等医院,090101,113.922873,22.530603,hospital,,,,False,0.2,True,0755-26553111,440305,440000,0755,amap
深圳市宝安人民医院,龙井二路118号,医疗保健服务;综合医院;三级甲等医院,090101,113.914854,22.562217,hospital,,,,False,0.2,True,0755-27788311,440306,440000,0755,amap
深圳市前海蛇口自贸区医院,工业七路128号,医疗保健服务;综合医院;综合医院,090100,113.92218,22.49675,hospital,,,,False,0.2,True,0755-21606999,440305,440000,0755,amap
龙塘社康,尚誉·红山里南门东北50米,医疗保健服务;综合医院;卫生院,090102,114.017401,22.63248,hospital,,,,False,0.2,True,[],440309,440000,0755,amap
深圳市南山区医疗集团总部大磡社区健康服务中心,西丽大磡工业路园丁楼对面综合楼一、二层,医疗保健服务;综合医院;卫生院,090102,113.975252,22.618481,hospital,,,,False,0.2,True,0755-86330191,440305,440000,0755,amap
南方医科大学深圳医院,新湖路13号(新安地铁站E口步行260米),医疗保健服务;综合医院;三级甲等医院,090101,113.896065,22.544303,hospital,,,,False,0.2,True,0755-23329999,440306,440000,0755,amap
深圳退役军人医院,西丽街道留仙大道6019号南方科技大学医院门诊B栋五楼,医疗保健服务;综合医院;综合医院,090100,113.949505,22.579542,hospital,,,,False,0.2,True,18129964738,440305,440000,0755,amap
深圳市宝安中医院(集团),裕安二路25号,医疗保健服务;综合医院;三级甲等医院,090101,113.899183,22.571818,hospital,,,,False,0.2,True,0755-29629366,440306,440000,0755,amap
南山区医疗集团总部丽城社区健康服务中心,沿河路10-2号,医疗保健服务;综合医院;卫生院,090102,113.958765,22.583212,hospital,,,,False,0.2,True,0755-86005891,440305,440000,0755,amap
南山区中医院(建设中),北环大道10024号,医疗保健服务;综合医院;综合医院,090100,113.926782,22.554701,hospital,,,,False,0.2,True,[],440305,440000,0755,amap
深圳前海泰康医院,南山街道梦海大道3099号前海泰康医院201,医疗保健服务;综合医院;综合医院,090100,113.892325,22.514673,hospital,,,,False,0.2,True,13265679607;4000195522,440305,440000,0755,amap
深圳市宝安人民医院(集团)建安院区,创业二路4号(灵芝地铁站F口步行470米),医疗保健服务;综合医院;综合医院,090100,113.901035,22.565396,hospital,,,,False,0.2,True,[],440306,440000,0755,amap
深圳市南山区中医院西丽社区健康服务中心,西丽街道创研路79号中兴人才公寓三期半地下1-2层,医疗保健服务;综合医院;卫生院,090102,113.933748,22.57636,hospital,,,,False,0.2,True,0755-26418526,440305,440000,0755,amap
深圳市宝安区人民医院大浪社区健康服务中心,创业二路266号(洪浪北地铁站B口步行80米),医疗保健服务;综合医院;卫生院,090102,113.911605,22.574985,hospital,,,,False,0.2,True,0755-27884372;0755-27884414,440306,440000,0755,amap
深圳市南山区医疗集团总部星海名城社区健康服务中心,星海名城4组团25-28号铺,医疗保健服务;综合医院;卫生院,090102,113.912035,22.535433,hospital,,,,False,0.2,True,0755-26495840,440305,440000,0755,amap
深圳市南山区兰园社康,蛇口金竹园商业楼2栋,医疗保健服务;综合医院;卫生院,090102,113.926898,22.499823,hospital,,,,False,0.2,True,0755-26820840,440305,440000,0755,amap
友鑫医院,松学路2号,医疗保健服务;综合医院;综合医院,090100,113.951263,22.558538,hospital,,,,False,0.2,True,19129395197,440305,440000,0755,amap
广东省痛风防治医学研究院仁济医院,南新路2118号,医疗保健服务;综合医院;综合医院,090100,113.91947,22.529855,hospital,,,,False,0.2,True,13714607160,440305,440000,0755,amap
深圳市宝安中医院门诊,裕安二路25号深圳市宝安中医院内,医疗保健服务;综合医院;三级甲等医院,090101,113.899291,22.571656,hospital,,,,False,0.2,True,[],440306,440000,0755,amap
深圳市宝安中医院(集团)西院区,文汇一街与裕安二路交叉口西80米,医疗保健服务;综合医院;三级甲等医院,090101,113.898469,22.571263,hospital,,,,False,0.2,True,[],440306,440000,0755,amap
深圳市宝安中医院(集团)东院区,裕安二路25号深圳市宝安区中医院,医疗保健服务;综合医院;三级甲等医院,090101,113.899119,22.571781,hospital,,,,False,0.2,True,0755-27816853;0755-29629333,440306,440000,0755,amap
深圳南海中医医院,前海路雷圳碧榕湾海景花园东区商业1-3楼,医疗保健服务;综合医院;综合医院,090100,113.90535,22.510947,hospital,,,,False,0.2,True,0755-26920353,440305,440000,0755,amap
深圳市宝安中医院(集团)西院区门诊楼,裕安二路25号深圳市宝安中医院(集团),医疗保健服务;综合医院;三级甲等医院,090101,113.89871,22.571107,hospital,,,,False,0.2,True,[],440306,440000,0755,amap
兴东社区健康服务站,71区创业二路389号二楼(兴东地铁站D口旁),医疗保健服务;综合医院;卫生院,090102,113.918585,22.581812,hospital,,,,False,0.2,True,0755-27661072,440306,440000,0755,amap
深圳市宝安中医院(集团)西院区扁鹊楼,裕安二路25号深圳市宝安区中医院东院区扁鹊楼,医疗保健服务;综合医院;三级甲等医院,090101,113.898779,22.570933,hospital,,,,False,0.2,True,0755-29629333,440306,440000,0755,amap
深圳市宝安中医院(集团)华佗楼,裕安二路25号深圳市宝安中医院(集团),医疗保健服务;综合医院;三级甲等医院,090101,113.899728,22.572215,hospital,,,,False,0.2,True,0755-29629333,440306,440000,0755,amap
深圳招商力宝太子湾医院,望海路1006号太子湾医院,医疗保健服务;综合医院;综合医院,090100,113.909658,22.474378,hospital,,,,False,0.2,True,[],440305,440000,0755,amap
宝安中心医院,广深路西乡段233号,医疗保健服务;综合医院;综合医院,090100,113.880095,22.580001,hospital,,,,False,0.2,True,0755-27956611;0755-27956811,440306,440000,0755,amap
深圳市宝安中医院(集团)景岳楼,裕安二路25号深圳市宝安中医院(集团),医疗保健服务;综合医院;三级甲等医院,090101,113.898627,22.571146,hospital,,,,False,0.2,True,[],440306,440000,0755,amap
深圳市宝安中医院(集团)东院区精诚楼,裕安二路25号深圳市宝安区中医院东院区,医疗保健服务;综合医院;三级甲等医院,090101,113.899699,22.572245,hospital,,,,False,0.2,True,[],440306,440000,0755,amap
