community_id,lng,lat,population,community_type,SCR,BFD,EWW,SVI,WES,alpha_env,v_robust,v_elderly,v_wheelchair,AI_star_robust,AI_star_elderly,AI_star_wheelchair,occlusion_factor,sidewalk_width_proxy,building_density_500m,floor_count,illusion_level
1,113.916231,22.546877,9265,high_end,0.3210634558321569,0.5506673545729942,4.437928739134149,0.7471131746462365,6.33408510322143,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,8.0,21,5,Minor
2,113.93485,22.527444,9949,commodity_housing,0.3606832333711924,0.6735508637884614,4.5245815505377225,0.6251041798473687,6.516135219279469,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,4.456891983952766,45,26,Minor
3,113.935645,22.528029,5747,high_end,0.3606832333711924,0.6735508637884614,4.5245815505377225,0.6251041798473687,6.516135219279469,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,4.456891983952766,45,26,Minor
4,113.918479,22.526518,6556,high_end,0.3920841014358002,0.4254413546787016,3.335926813559088,0.5590769498033736,5.442963849085332,0.82,0.9839999999999999,0.5903999999999999,0.39359999999999995,21.95121951219514,103.25203252032522,204.87804878048786,0.0,5.3383107792813815,142,17,Significant
5,113.957109,22.52315,3775,high_end,0.23771587124355376,0.6540145348099208,4.023434412921687,0.6738411086066934,6.19586616796885,0.65,0.78,0.46799999999999997,0.31200000000000006,53.84615384615383,156.41025641025647,284.6153846153845,0.0,8.0,5,26,Severe
6,113.92981,22.530638,10989,commodity_housing,0.5209130418272941,0.5524842895970471,3.236603480213531,0.5557462006052906,6.078319425818538,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,5.672700130621385,189,21,Minor
7,113.953239,22.518945,9863,high_end,0.3504411361997444,0.6183850889038023,4.543750274718216,0.7041829598134707,6.505652050485679,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,8.0,1,3,Minor
8,113.931195,22.526954,3064,high_end,0.4341779010510721,0.49626296240390944,3.8208093350991534,0.47684915654054044,5.884895256681042,0.82,0.9839999999999999,0.5903999999999999,0.39359999999999995,21.95121951219514,103.25203252032522,204.87804878048786,0.0,4.435643564356436,167,3,Significant
9,113.929679,22.506525,9184,high_end,0.34405167707701284,0.6153149165252859,3.9780248525134096,0.638998243627425,6.334704342619984,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,3.4808115375213884,88,6,Minor
10,113.92211,22.541586,5731,high_end,0.31582565255014416,0.6850310074250956,4.628277703028822,0.6541101902565145,6.4682748567262,1.0,1.2,0.72,0.48,0.0,66.66666666666666,150.0,0.0,8.0,28,27,Minor
