community_id,lng,lat,population,community_type,area_m2,A_day_raw,A_night_raw,A_day_norm,A_night_norm,TPI,accessibility_gap,accessibility_ratio,SAII,TPI_level
1,113.916231,22.546877,1962,high_end,35599.45,0.028187282355817272,0.0011464838372693203,0.096712105584358,0.04826965449279508,-50.08933555821361,0.04844245109156292,0.4991066444178639,0.04844245109156293,0-NightAdv
2,113.93485,22.527444,1580,commodity_housing,20077.88,0.012026096032788256,0.0008084256125360785,0.041262192452924194,0.03403661153495702,-17.5113838805604,0.007225580917967177,0.8248861611943961,0.007225580917967177,0-NightAdv
3,113.935645,22.528029,3123,high_end,56636.18,0.012751314210708225,0.0008825142911433285,0.04375045563875831,0.037155918412163,-15.073070966495813,0.0065945372265953095,0.8492692903350418,0.0065945372265953095,0-NightAdv
4,113.918479,22.526518,4453,high_end,80754.49,0.04224034158524986,0.0032494202240947,0.14492891949439538,0.1368082012325017,-5.603242120498741,0.008120718261893672,0.9439675787950126,0.008120718261893672,0-NightAdv
5,113.957109,22.52315,1292,high_end,23438.85,0.0016573698762966582,6.679985719215204e-05,0.005686526584768705,0.002812430425982348,-50.54220913139824,0.002874096158786357,0.4945779086860176,0.002874096158786357,0-NightAdv
6,113.92981,22.530638,1822,commodity_housing,23131.33,0.007205645671245913,0.0005816267539793224,0.024722963929766247,0.024487848450804404,-0.9510003720822742,0.00023511547896184343,0.9904899962791772,0.00023511547896184343,1-None
7,113.953239,22.518945,5226,high_end,94732.01,0.0038599308748085283,0.0002302403172293557,0.013243633692687792,0.009693656553800884,-26.80515952994802,0.0035499771388869082,0.7319484047005198,0.003549977138886909,0-NightAdv
8,113.931195,22.526954,1188,high_end,21563.64,0.020266831683316215,0.0012587486391208854,0.06953660664674814,0.05299626556302526,-23.78652321610863,0.016540341083722883,0.7621347678389138,0.016540341083722886,0-NightAdv
9,113.929679,22.506525,6150,high_end,111495.97,0.09376637975641618,0.006251548881143108,0.32171757123630657,0.26320484836168784,-18.187605560294443,0.05851272287461873,0.8181239443970556,0.05851272287461873,0-NightAdv
10,113.92211,22.541586,4619,high_end,83755.75,0.03818267528787403,0.0024184126237927275,0.1310068447649416,0.1018208351279762,-22.278232629243348,0.029186009636965396,0.7772176737075666,0.0291860096369654,0-NightAdv
11,113.930124,22.507264,5696,commodity_housing,72273.28,0.09553660670248666,0.006157300285326475,0.32779131659265204,0.25923676175757526,-20.914085079401257,0.06855455483507678,0.7908591492059874,0.06855455483507678,0-NightAdv
12,113.952473,22.531496,5583,commodity_housing,70857.07,0.00944685940511702,0.0004300294080771519,0.03241269068423367,0.018105245163390116,-44.14149278820301,0.014307445520843554,0.5585850721179699,0.014307445520843554,0-NightAdv
13,113.935223,22.521598,8903,commodity_housing,112969.77,0.04060648437822367,0.0023764154818466114,0.13932306616234932,0.10005265709918496,-28.186581120317612,0.03927040906316437,0.7181341887968239,0.03927040906316437,0-NightAdv
14,113.937297,22.539434,4131,commodity_housing,52434.5,0.007104121846688273,0.00045542078947454894,0.024374630141641405,0.019174281784147314,-21.335086223974578,0.00520034835749409,0.7866491377602542,0.00520034835749409,0-NightAdv
15,113.936653,22.539844,5600,commodity_housing,71074.73,0.00790870491566851,0.0003239482682303979,0.027135198604267406,0.013638980745044169,-49.73694151293501,0.013496217859223237,0.5026305848706499,0.013496217859223239,0-NightAdv
16,113.935174,22.532709,7115,commodity_housing,90301.9,0.0061757159907313,0.00046920969685515377,0.021189218932677636,0.019754827077031887,-6.769441857215678,0.0014343918556457488,0.9323055814278433,0.0014343918556457488,0-NightAdv
17,113.934844,22.541922,6112,high_end,110826.59,0.015429217593445383,0.0007110256559171276,0.052938488434070924,0.029935845260913533,-43.4516433195947,0.02300264317315739,0.565483566804053,0.023002643173157394,0-NightAdv
18,113.919313,22.522586,3141,high_end,56965.45,0.038288875961096314,0.0029238753061797164,0.13137122507632282,0.12310199779655198,-6.294549871911949,0.008269227279770835,0.9370545012808805,0.008269227279770835,0-NightAdv
19,113.946107,22.526839,2899,high_end,52595.89,0.014917389147010521,0.0008043732558514334,0.05118237707406709,0.03386599782834317,-33.83269835370293,0.01731637924572392,0.6616730164629707,0.01731637924572392,0-NightAdv
20,113.932012,22.524139,3236,high_end,58673.53,0.033482490607402854,0.0020385796494597824,0.11488025436344097,0.0858289773799502,-25.28831185521464,0.029051276983490776,0.7471168814478536,0.02905127698349078,0-NightAdv
21,113.954585,22.544935,8017,commodity_housing,101722.22,0.011964497770598345,0.0006511274894332425,0.041050845450346124,0.027413992176778108,-33.219421242036894,0.013636853273568016,0.667805787579631,0.013636853273568016,0-NightAdv
22,113.955945,22.541872,2972,high_end,53902.98,0.03183208150152503,0.0024782521567475505,0.1092176105622339,0.1043402196032246,-4.465755049850773,0.004877390959009312,0.9553424495014923,0.004877390959009312,1-None
23,113.951568,22.513775,1648,commodity_housing,20919.71,0.013941265937226242,0.00044470988095696406,0.047833245017406906,0.018723327451743318,-60.85708288256474,0.029109917565663588,0.3914291711743526,0.02910991756566359,0-NightAdv
24,113.943167,22.541014,3342,commodity_housing,42426.93,0.024341532221341635,0.0016943635446544424,0.0835171267864212,0.07133667324997367,-14.584378085223971,0.012180453536447533,0.8541562191477603,0.012180453536447533,0-NightAdv
25,113.934599,22.509815,3909,high_end,70881.41,0.06133654180947723,0.0036895574512689024,0.21044902565547657,0.15533900925131977,-26.186871729392898,0.0551100164041568,0.738131282706071,0.055110016404156796,0-NightAdv
