profile_id,road_name,n_buildings,total_floors,avg_floors,max_floors,min_floors,dominant_usage,avg_lat,avg_lng,scr_estimate,eww_estimate
PROFILE_0049,文心二路,14,187,13.357142857142858,22,3,Residential,113.92588686428572,22.52206628357143,0.5,2.5
PROFILE_0050,文心五路,7,49,7.0,22,2,Commercial,74.75419651285713,61.69558785714286,0.65,3.5
PROFILE_0051,栋科智西路,7,7,1.0,1,1,Infrastructure,74.77122495714286,61.71530818000001,0.75,4.5
PROFILE_0052,沙河西路,20,100,5.0,28,1,Residential,22.552288219,113.95109812100002,0.75,3.5
PROFILE_0053,沙河西路,77,432,5.6103896103896105,29,1,Residential,113.95113544324676,22.551840629350647,0.65,3.5
PROFILE_0054,海天一路,7,108,15.428571428571429,36,11,Residential,87.81801035142858,48.643026915714294,0.5,1.5
PROFILE_0055,海天二路,13,339,26.076923076923077,54,3,Residential,85.80797301307692,50.65133684692309,0.3,1.5
PROFILE_0056,海德一道,18,190,10.555555555555555,22,1,Mixed Residential,83.45903051833332,52.98882694555555,0.5,2.5
PROFILE_0057,海德三道,14,327,23.357142857142858,34,3,Residential,22.523361197142858,113.93031629071427,0.3,1.5
PROFILE_0058,海德三道,35,836,23.885714285714286,52,1,Residential,113.93087171257145,22.52322739942857,0.3,1.5
PROFILE_0059,海德二道,4,88,22.0,22,22,Residential,68.2245183375,68.22444110250001,0.5,1.5
PROFILE_0060,海德四道,8,26,3.25,5,1,Other,79.65510182625,56.80278557625,0.75,3.5
PROFILE_0061,深南大道,6,124,20.666666666666668,52,2,Commercial,22.548407853333334,113.92401953666668,0.3,1.5
PROFILE_0062,深南大道,16,354,22.125,54,1,Commercial,113.940200051875,22.543280936875,0.3,1.5
PROFILE_0063,深圳市南山区创业路,8,96,12.0,18,2,Mixed Residential,79.6474619725,56.795515718749996,0.5,2.5
PROFILE_0064,深圳市南山区科技园科丰路,5,40,8.0,19,4,Other,77.38784033,59.110061222,0.65,3.5
PROFILE_0065,滨海大道,16,463,28.9375,54,1,Residential,96.797023464375,39.663538045,0.3,1.5
PROFILE_0066,琼宇路,4,16,4.0,7,1,Residential,22.553852767500004,113.9428623,0.75,3.5
PROFILE_0067,琼宇路,26,136,5.230769230769231,27,1,Residential,113.94314340884617,22.553974600384613,0.65,3.5
PROFILE_0068,登良路,44,405,9.204545454545455,31,1,Residential,22.51391710159091,113.92631117954542,0.65,2.5
PROFILE_0069,登良路,88,746,8.477272727272727,31,1,Residential,113.92653492295454,22.513799482159087,0.65,2.5
PROFILE_0070,白石路,11,201,18.272727272727273,40,6,Unknown,22.53122067909091,113.93514297454544,0.5,1.5
PROFILE_0071,白石路,17,249,14.647058823529411,39,2,Unknown,113.93343973882352,22.53016817882353,0.5,2.5
PROFILE_0072,科丰路,5,20,4.0,7,2,Residential,22.552526284000002,113.943522842,0.75,3.5
PROFILE_0073,科丰路,23,87,3.782608695652174,8,1,Residential,113.94310860826086,22.55279204521739,0.75,3.5
PROFILE_0074,科伟路,16,93,5.8125,7,1,Residential,102.518190199375,33.97552449875,0.65,3.5
PROFILE_0075,科兴路,16,103,6.4375,34,1,Residential,91.090635544375,45.393628693124995,0.65,3.5
PROFILE_0076,科华路,16,29,1.8125,6,1,Infrastructure,91.094025375,45.39808399375001,0.75,4.5
PROFILE_0077,科发路,13,268,20.615384615384617,45,1,Residential,22.54674522769231,113.94659762846155,0.3,1.5
PROFILE_0078,科发路,65,921,14.169230769230769,45,1,Residential,113.94474681076923,22.546673149384613,0.5,2.5
PROFILE_0079,科彗路,6,8,1.3333333333333333,2,1,Unknown,98.71083615833334,37.780678551666675,0.75,4.5
PROFILE_0080,科慧路,11,26,2.3636363636363638,7,1,Unknown,89.01726588272727,47.47395318545454,0.75,4.5
PROFILE_0081,科技中一路,5,46,9.2,19,1,Residential,22.544688508,113.931972036,0.65,2.5
PROFILE_0082,科技中一路,34,371,10.911764705882353,78,1,Residential,113.93119407352941,22.54584149382353,0.5,2.5
PROFILE_0083,科技中二路,5,37,7.4,24,1,Other,22.54636337,113.933211956,0.65,3.5
